name,id,bio
name,id,bio
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,"Julia Shammas Holter (born December 18, 1984) is an American singer-songwriter, producer, composer and artist, from Los Angeles, CA."
Cassandra Jenkins,1WVGbBnzZ5WLZ2PfesIHik,This artist doesn't have a bio yet! Stay tuned...
Kate Bollinger,4eArh1v6UwBbKkjdgHCned,This artist doesn't have a bio yet! Stay tuned...
Alex Lahey,5kdYrM3h2sB1Eid5tDf6Hk,"Melbourne-based singer-songwriter, Alex Lahey, sold her car to record her debut EP. Her music is characterized by melodic, guitar-driven hooks, and her most recent single, ""You Don't Think You Like People Like Me,"" has been popularized by its catchy, break-up theme. Lahey's sound has evolved from her previous group, Animaux, and she now embraces simple storytelling with the help of her new three-piece band and producer, Oscar Dawson. (Summarized by ChatGPT)"
Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,"Katherine Paul, also known as Black Belt Eagle Scout, is a radical indigenous queer feminist whose identity and music are rooted in her Native American heritage. Growing up in the Swinomish Indian Tribal Community, surrounded by family musicians, Paul taught herself to play guitar and drums and became involved with the Portland music scene, inspired by Riot Grrrl and Post-Rock bands. (Summarized by ChatGPT)"
Sody,01y8iBZYk8aeNfPsuTVrAt,"Sophie Dyson, or known as Sody, is a 19 year old British singer. Her debut single, “Sorry”, gave rise to an EP released on June 17, 2016, called “Youth”. She’s gotten her start with a YouTube channel where she posted her music, music videos, and song covers.  She signed a record label deal with Relentless Records at 17, and has been releasing singles, like “Maybe It Was Me” and “The Bully” ever since. Her second EP, I’m Sorry, I’m Not Sorry was released on December 13, 2019."
Hazel English,1nEGjL7aMVdNQzsfQPKdGr,"Oakland-based, Australian-born indie pop singer Hazel English began her career in 2015 with the release of her first single It’s Not Real. She followed it up in 2016 with the release of the Never Going Home EP, and her double EP Just Give In/Never Going Home in May 2017."
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,"beabadoobee is a British-Filipino singer-songwriter based in London, England. She released her debut EP Lice in 2018, followed by Patched Up and Space Cadet. In 2020, her song “Coffee” was sampled in Powfu’s viral TikTok hit “death bed”. She released her debut studio album, Fake It Flowers, in 2020. (Summarized by ChatGPT)"
Alice Phoebe Lou,03uMw43UVu9MsQCcHVSGjX,"Alice Phoebe Lou is a South African singer-songwriter living in Berlin, known for her bluesy, folk sound and captivating vocals. She grew up on a mountain, listening to her parents' records and went to a Waldorf school where she nurtured her love of music, theatre and arts. She honed her craft by busking on the streets of Berlin. (Summarized by ChatGPT)"
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,This artist doesn't have a bio yet! Stay tuned...
Ada Lea,3sE8O47mEFWR6pL0rwnAHy,This artist doesn't have a bio yet! Stay tuned...
Kississippi,6t0a2t1BXxTQvAkxReClPm,"Kississippi is an American pop and indie folk group from Philadelphia, Pennsylvania."
MUNA,6xdRb2GypJ7DqnWAI2mHGn,"MUNA is a queer American pop/rock trio comprised of Katie Gavin, Josette Maskin, and Naomi McPherson. They are all multi-instrumentalists and producers who formed the band while attending the University of Southern California. Their debut album About U was released in 2017 and they released their sophomore album, Saves the World, in 2019. (Summarized by ChatGPT)"
Esmé Patterson,1PoFNQQDFXvOYm6Dx8coAa,This artist doesn't have a bio yet! Stay tuned...
P.S. Eliot,5OPhZptrztOU4W75eMEPiX,P.S. Eliot was a pop punk band formed by twin sisters Katie and Allison Crutchfield in 2007 in Alabama. They released two albums before disbanding in 2011 and pursued separate musical careers. Their name is likely a play on T.S. Eliot. (Summarized by ChatGPT)
Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn,"Reneé Rapp (born on January 10, 2000) is an American actress and singer. In 2018, she won the Jimmy Award for Best Performance by an Actress. She currently plays Leighton in the HBO Max comedy series The Sex Lives of College Girls, for at least 2 seasons.  In 2022 she started to record her songs and the first piece called “Tattoos” was released on 3rd of June, 2022."
Vagabon,17mwzDXKn4ra9cuxXaptwp,"Lætitia Tamko, better known by her stage name Vagabon, is a Cameroonian songwriter, producer, and multi-instrumentalist, currently based in New York.  Recording since 2014 as Vagabon, she released her debut album, Infinite Worlds, in 2017."
Beach Bunny,2vnB6tuQMaQpORiRdvXF9H,"Beach Bunny is an indie pop band from Chicago, founded by Lili Trifilio in 2015 as a solo project before expanding into a full band. They have released five EPs and two full-length albums, with their fourth EP, Prom Queen, achieving viral success on TikTok. Their sophomore album, Emotional Creature, is set to release in July 2022. (Summarized by ChatGPT)"
Doechii,4E2rKHVDssGJm2SCDOMMJB,"Doechii is a rapper, singer, and songwriter from Tampa, Florida.  The artist first rose to popularity following the viral success on Tik Tok of her 2020 single “Yucky Blucky Fruitcake,” which led her to sign a record deal with the Los Angeles-based label Top Dawg Entertainment in 2021.  In August 2022, Doechii released her debut project with the label, the EP she / her / black bitch."
Samia,1Uk1GyijF6fSfX4mWq5bfR,"Samia Finnerty is a singer-songwriter from New York City living in Nashville, known for her debut album The Baby and EP Scout. She is also an actress, with occasional roles in movies and TV shows. Her debut single was ""Welcome to Eden"" and she has collaborated with AJR. She is the daughter of actress Kathy Najimy and musician Dan Finnerty of the Dan Band. (Summarized by ChatGPT)"
Grace Gaustad,1F2JeQG9fLoC6flF1QTnxS,Grace Gaustad is the 16-year-old up and coming musician. Her goal is to create music with lyrics in which people can relate to since music  has always been the one thing that made her feel better personally.
JGrrey,66rDbD3tWR3M1uNuIaDAGx,This artist doesn't have a bio yet! Stay tuned...
fanclubwallet,1NJUWqbiNAk1BPOyQhb2qe,This artist doesn't have a bio yet! Stay tuned...
Daisy the Great,0SrIPejckovMwhrN3MZFPB,"Daisy the Great is a Brooklyn-based indie pop ensemble fronted by Kelley Nicole Dugan and Mina Walker. The dynamic duo is “joining a larger chorus of female pop musicians that are leaning into anarchy and melancholia, according to Refinery 29 with their intimate, tactile lyrical observations, sung through beautiful, heartfelt harmonies."
Lala Lala,492I2sQFcHDcsZECYX25dE,"Lillie West moved from London to L.A as a teenager and then to Chicago to attend the Chicago Institute of Art. She is the lead singer/guitarist of the band Lala Lala, which also consists of Emily Kempf on bass/backup vocals and Ben Leach on drums. They recently toured with Death Cab For Cutie and are signed to Hardly Art, an imprint of Sub Pop. (Summarized by ChatGPT)"
Dreamer Isioma,6u6AbTVrbabv27DLcSrF8i,"Dreamer Isioma is a Nigerian-American multigenre singer-songwriter and guitarist from Chicago who began learning music theory at three years old. Their music borrows influences from various genres, including Afrobeats, psychedelic R&B, and Indie pop. They gained popularity after their song ""Sensitive"" went viral on TikTok, and have since released two EPs and an album. Isioma describes themselves as a ""creative director"" rather than conforming to a specific label of a performer. (Summarized by ChatGPT)"
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,"Annie Clark, aka St. Vincent, is an artist who defies specific rock subgenres. Since her debut album in 2007, she has evolved into increasingly intriguing sounds, earning critical acclaim with her fourth solo album, St. Vincent, which won Best Alternative Album at the 2014 Grammy Awards. Her fifth album, MASSEDUCTION, was released in 2017. (Summarized by ChatGPT)"
Discovery Zone,4Q3A7ukbHFR5xThu9hZDZt,"JJ Weihl, aka Discovery Zone, is a multi-media artist from NYC, now based in Berlin. She creates pop music, videos, presentations, and algorithmic art, using instruments and 3D visuals to explore the universe. Her debut album was released in 2020, with a focus on the contrast between analog and digital sounds. (Summarized by ChatGPT)"
"Whatever, Dad",1wMNhhG8VUhDGZ249MZBtn,"WHATEVER, DAD was a solo project of the singer and songwriter Z Santos. Between 2012 and 2017, WHATEVER, DAD released several albums which can now be found here. They are also a member of the indie rock band Crying, as well as several other projects, including 100%, Aro, and Ough"
Bully,34LdbFt5sVXKTJOzf1iExQ,"Bully, an alternative/punk rock band from Nashville, TN, was formed by frontwoman Alicia Bognanno, who previously worked as an engineer. Their music features Alicia's yells and screams, which express the emotional themes of her lyrics. Their debut LP is called Feels Like. (Summarized by ChatGPT)"
Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,This artist doesn't have a bio yet! Stay tuned...
Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,"Haley Heynderickx is an American singer-songwriter from Portland, Oregon.  She was born in Stockton, California, and raised in Forest Grove, Oregon in a religious Filipino-American family. She learned to sing in church.  Heynderickx debuted in 2016 with the self-released EP, Fish Eyes."
Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,"Cleo Sol (born March 24, 1990) is a British R&B singer-songwriter from West London, England."
Zeph,502gYHkFCtLzBIcU4ctPLd,"Zephani Jong, aka Zeph, is a Maryland-based singer, songwriter, and producer. She gained popularity for her post-it note Vine drawings but is now known for her heartfelt music. Zeph released Forever & Always in 2018, followed by Lucky and Ways to Go in 2020. Her EP goodnight moon contains short instrumentals and song demos. While she has a limited catalog on streaming services, she frequently produces ""little songs"" on her social media accounts covering diverse genres and relatable topics. (Summarized by ChatGPT)"
WILLOW,3rWZHrfrsPBxVy692yAIxF,"Willow Smith is an American singer, actress, songwriter, model, and activist, known for hit songs ""Whip My Hair"" and ""21st Century Girl"". She is the daughter of Will Smith and Jada Pinkett Smith, and the younger sister of Jaden Smith. Willow is the youngest artist signed to Jay-Z's record label Roc Nation. She has released three albums and is part of electronic-pop-punk duo, THE ANXIETY. She hosts the talk show Red Table Talk with her mother and grandmother, and her music is largely inspired by her mother's nu-metal band, Wicked Wisdom. (Summarized by ChatGPT)"
ML Buch,3NsSv8HchEwfa7bGkjb4ZC,"ML Buch is a Danish composer, producer, songwriter and singer who explores intimacy, space and (modern) love through her word and sound."
Squirrel Flower,7bI1v9NGBBhq8iGfytctni,This artist doesn't have a bio yet! Stay tuned...
Gloria Laing,3aO4DL5c2uBGD8EUuP7sxi,This artist doesn't have a bio yet! Stay tuned...
Lennon Stella,1cZQSpDsxgKIX2yW5OR9Ot,"Lennon Stella (born August 13, 1999) is a singer-songwriter from from Oshawa, Ontario, who shot to internet fame at an early age with her viral video with sister Maisy Stella. The two sisters also starred in the popular country music-themed TV series Nashville.  In November 2018, Lennon launched her solo career with her debut EP Love, me. She has gone on to release several successful singles, including “Polaroid,” a high-profile collab with Jonas Blue and Liam Payne."
Hannah Cohen,7ovXNdlB2DNSC16TbKgros,"Hannah Cohen's third album, ""Welcome Home,"" showcases her confident songwriting skills and evocative vocals. Produced by Sam Evian, the album blends folk, R&B, and pop with electronic elements for a unique sound. Cohen's creative partnership and new home allowed her to find clarity in her writing, with many songs written on an old Hawaiian guitar. The album echoes the influences of soul legends such as Marvin Gaye and Bill Withers, as well as singer-songwriter forebears like Carole King. (Summarized by ChatGPT)"
Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,"Phoebe Bridgers is a singer-songwriter from Los Angeles who began writing songs at age 11 and performing at open mic nights and farmers markets. Her music draws inspiration from classic and contemporary artists, and she has toured with Julien Baker and Violent Femmes. Bridgers is in the bands boygenius and Better Oblivion Community Center with other musicians, and her sophomore album Punisher received critical acclaim and GRAMMY nominations in 2020. The album explores themes of depression, isolation, and coming-of-age. (Summarized by ChatGPT)"
Hana Vu,3diDUq8QMCCtx8a4Jy42aO,"Hana Vu is a Los Angeles-based musician known for her brooding, melodic pop sound, driven by guitar and her distinctive contralto. She started making music in her bedroom and gained attention for her 2018 EP, How Many Times Have You Driven By. In 2021, she signed with Ghostly International and released ""Maker,"" co-produced by Jackson Phillips. (Summarized by ChatGPT)"
Katie Gregson-MacLeod,2xCYQunn7ZXK6qOwXWPvcF,"Katie Gregson-MacLeod, a Scottish singer-songwriter, has released her new EP 'songs written for piano', featuring her breakout track 'complex'. She has also released a new single ""white lies"", which tells the story of growing apart from someone. The EP explores a stripped-back acoustic theme with a live version recorded with a 12-piece string ensemble and three new tracks. In September, the artist signed to Columbia Records after her 45-second TikTok clip of 'Complex' amassed 100,000 views. (Summarized by ChatGPT)"
UMI,4ClziihVpBeFXNyDH83Lde,"Tierra Umi Wilson (aka UMI) is an LA-based recording artist and songwriter. Her unique musical sound hovers around hip-hop, lo-fi, and R&B.  Currently independent, she began by posting her own music to SoundCloud and YouTube. She has written and recorded all of her own songs."
Margaret Glaspy,13YVfXddjRIUrubItJjadb,"Margaret Glaspy is a Californian singer-songwriter currently based in New York City.  She began her solo career with the release of her EP Homeschool in 2012, and after signing to ATO Records went on to release her debut album Emotions and Math in 2016. In 2018, she released the three song Born Yesterday EP."
Ethel Cain,0avMDS4HyoCEP6RqZJWpY2,"Ethel Cain, aka Hayden Silas Anhedonia, is a singer-songwriter from North Florida. Growing up in a conservative town, Anhedonia turned to music as an outlet and released her first music under the name ""White Silas"" before adopting the persona of Ethel Cain. Anhedonia's style is heavily influenced by country, hymns, and 90s Christian synthpop. (Summarized by ChatGPT)"
Buzzy Lee,0cz2DZrX5wGn1XUdIPKYYQ,"Moniker of actress and musician Sasha Spielberg, daughter of director Steven Spielberg and actress Kate Capshaw."
Natalie Prass,0EmUT6i9rTu9ZHy1Tl1iuX,"Natalie Prass  (born March 15, 1986) is an American singer-songwriter from Richmond, Virginia. She’s currently based in Nashville.  Her eponymous debut album was recorded in 2012 but was shelved because of label troubles. The album was finally released in 2015.  She has cited Ella Fitzgerald as one of her main influences."
Arlo Parks,4kIwETcbpuFgRukE8o7Opx,"Arlo Parks is a British singer-songwriter of Nigerian and Chadian-French descent. She debuted in 2018 and released two EPs before her highly acclaimed debut album, Collapsed in Sunbeams, won the Mercury Prize in 2021 and was nominated for a Grammy Award in 2022. (Summarized by ChatGPT)"
Olive Klug,3SEtmo8E5DJVuGddKYqeiU,This artist doesn't have a bio yet! Stay tuned...
FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,"FKA Twigs is a British dancer, director, composer, singer and producer. She began as a pop-video dancer before releasing her music with the self-titled EP1 under the name “twigs"". Her debut album, LP1, was hugely successful and she has since gone on to release a third extended play, M3LL155X, and her sophomore album, MAGDALENE in 2019. (Summarized by ChatGPT)"
Coco & Clair Clair,5FkMS3KgG0cjiRm250NFTJ,"Coco and Clair Clair are an Atlanta-based duo who make alternative hip-hop/bedroom pop. They met on Twitter and are influenced by Charli XCX, Lil B, Grimes, and Junglepussy. They released their debut song, ""P.O.S.H. (Get Off My Snapchat),"" in 2016, and their debut album, POSH, in April 2017. They released a new EP, Treat Like Gold, in 2020, and announced their second album, Sexy, to be released in November 2022. (Summarized by ChatGPT)"
Lady Lamb,2wunbYU5KWrpI7RCRBkwF0,"Brunswick, ME’s resident banjopicker Aly Spaltro was just a young'n when she started recording in the basement of a local video store and selling CDs at beloved indie record store Bull Moose. Today, her albums have been met with great critical acclaim, and she’s known as a folk force to be reckoned with!"
Kelsey Lu,0fEfMW5bypHZ0A8eLnhwj5,"Kelsey Lu (born May 12, 1991) is an American singer-songwriter and classically trained cellist from Charlotte, NC.  Born to devout Jehovah’s Witnesses, they attended the North Carolina School for the Arts for a year.  Their artistic practice sits comfortably at the intersection of visual art, activism, performance and music. They are currently in artist residence at the Palm Heights Grand Cayman and has collaborated with Skrillex, Sampha, Florence The Machine, Solange Knowles and many more."
dodie,21TinSsF5ytwsfdyz5VSVS,"Dodie Clark is an English YouTuber and singer-songwriter, known for her piano and ukulele covers and soothing voice. She started vlogging in 2007 and singing on YouTube in 2011 under the channel name doddleoddle. She has released three EPs and her debut album, Build A Problem, in May 2021. She also released a memoir in 2017 called Secrets for the Mad: Obsessions, Confessions, and Life Lessons. (Summarized by ChatGPT)"
Joy Williams,4TCXgdDPm10ensLNCVnIYa,"With four Grammy Awards under her belt, this American singer-songwriter is no stranger to the stage. Williams has released four solo albums and four EPs since 2001 and was part of the folk-rock duo The Civil Wars from 2009-2014. Upon dissolution of the band, she went on to forge her own path, commenting on her independent nature in a  2014 interview:  I wanted to write things that moved me and not feel like I had any parameters telling me what to do or not do."
Chappell Roan,7GlBOeep6PqTfFi59PTUUN,"Chappell Roan (born Kayleigh Rose Amstutz in Willard, Missouri) is an American singer and songwriter signed to Atlantic Records. When she was 17 years old and in eleventh grade, Roan uploaded a song titled “Die Young” to YouTube, leading Atlantic to sign her to the label. In summer 2020, she released “Pink Pony Club”, which was later described as “the Song of Summer 2021” in Vulture."
Tia Gostelow,4blt4zG5qMjWCPymNjDNP5,This artist doesn't have a bio yet! Stay tuned...
Aoife O'Donovan,1f3ubTd6eyxuy30ddDJQQa,"Aoife O'Donovan is an Irish-American singer-songwriter from Massachusetts. She gained popularity as a member of progressive bluegrass band Crooked Still, before forming the contemporary folk trio Sometymes Why. O'Donovan released her first solo album, Blue Light, in 2010 and later signed a deal with Yep Roc Records, releasing two more albums. She also toured with Sara Watkins and Sarah Jarosz as part of the trio ""I’m With Her"" and was a guest vocalist on ""The Goat Rodeo Sessions"", a Grammy-winning album. (Summarized by ChatGPT)"
Clairo,3l0CmX0FuQjFxr8SK7Vqag,"Clairo is an American singer-songwriter known for her indie pop style. Born in Atlanta, Georgia, she was influenced by her parents' diverse music taste as her father introduced her to Al Green and her mother to Cocteau Twins. She gained popularity with her viral hit ""Pretty Girl"" before releasing her first full-length album in 2019. Her second album, Sling, was released in July 2021. (Summarized by ChatGPT)"
Aldous Harding,3lmR0qMiGuoIF9UC54egcG,"Aldous Harding is a gothic folk singer-songwriter from New Zealand, who debuted in 2014 with her self-titled album. Her style is described as eerie, archaic English folk, featuring themes of misfortune and death. Her second album, Party, released in 2017, showcases songs about love and strength with a goth-folk twist, produced by PJ Harvey collaborator John Parish. (Summarized by ChatGPT)"
Ashe,6P5NO5hzJbuOqSdyPB7SJM,"Ashe is a California native known for her balance of modern day pop writing and vintage vocals. After graduating from Berklee College of Music, she gained international exposure as a songwriter and jazz vocalist. Ashe gained notoriety in the electronic space after collaborating with various artists and released her debut EP, The Rabbit Hole, in June 2018. Ashe released her debut studio album, Ashlyn, on May 7, 2021. (Summarized by ChatGPT)"
Cate Le Bon,0LZac5VicY19QLaIUvIB0G,This artist doesn't have a bio yet! Stay tuned...
Bree Runway,58hqTaCiqGrMsNmmm3qL7w,"Bree Runway is a London-based singer, songwriter, and rapper who gained attention with her 2017 single ""What Do I Tell My Friends?"" In 2020, she released her debut mixtape, 2000AND4EVA, featuring collaborations with Missy Elliott, Rico Nasty, and Maliibu Miitch, and signed with Motown Records in the U.S. (Summarized by ChatGPT)"
Charlotte Cornfield,59aqTTQGnvttJ4BCThaABZ,This artist doesn't have a bio yet! Stay tuned...
Genevieve Stokes,2uaMjmR0IE0K3oKTQrNZVQ,"Genevieve Stokes is a youthful, American singer-songwriter best known for her songs Lonley and Bored, Surface Tension, and Running Away. The singer’s songs feature a brooding piano and crisp modernity."
JESSIA,6DdbeAeBlrYj8bNToZv4TY,"Vancouver-based JESSIA is a breakout artist signed to Artist Driven Records and Republic Records. Her new single ""I'm not Pretty,"" championed by Grammy award-winning singer, songwriter, and producer Ryan Tedder, has garnered 30 million streams, 50 million views, and countless TikTok creations in less than a month. Her lyrics are minimalistic and personal, inspired by her own and her friends' stories. JESSIA is a multidimensional artist, having hit rock bottom in 2019 before rediscovering her love for songwriting, leading to the release of ""Tell Me,"" ""Conviction,"" ""Really Nice To Think About,"" and ""I'm not Pretty."" (Summarized by ChatGPT)"
NERIAH,1dUrqVHcv2FCXxlIqzIbiG,This artist doesn't have a bio yet! Stay tuned...
Fenne Lily,7iPH2BRBF9wKa6ljxvdext,"Fenne Lily is a British musician who grew up in the English countryside and was taught music by her mother's record collection. She first gained popularity with her self-released album, On Hold, which explored the topic of relationships. Her Dead Oceans debut, BREACH, focuses on her journey of finding peace and contentment alone, as well as loneliness and the anxieties of being in your 20s. The album was produced by acclaimed producers Brian Deck and Steve Albini and features songs ranging from lo-fi rock to delicate ballads. The album's title, BREACH, represents Fenne breaking through the mental barriers that were keeping her safe and finding comfort within herself. (Summarized by ChatGPT)"
Ruby Fields,1nwPEi1UZdJtCxBqATpsq3,"Ruby Fields is an Australian indie rock singer-songwriter whose music career began after her debut single 'I Want' went viral on Triple J's Unearthed network. She then released her first EP 'Your Dad’s Opinion For Dinner' on March 1, 2018. Fields is known for her relatable, burst-of-personality sound, and she creates her own guitars to produce the perfect sound. (Summarized by ChatGPT)"
Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,"Maggie Rogers is an American musician, singer-songwriter, and producer known for her hit song ""Alaska."" Combining folk and dance music, she defines her genre as movement/feelings. Pharrell's review of ""Alaska"" helped it go viral. She hails from Easton, Maryland. (Summarized by ChatGPT)"
Solange,2auiVi8sUZo17dLy1HwrTU,"Solange is an American singer, songwriter, and occasional actress. She was raised in Houston, Texas along with older sister Beyoncé. Solange released her first album Solo Star in 2002. Five years later, she released Sol-Angel and the Hadley St. Dreams.  In 2012, she began pushing her sound on the EP True, which earned her critical raves and hordes of new listeners.  In 2016, Solange released A Seat at the Table, which demonstrated greater confidence and depth than any previous release."
Sudan Archives,2MPHBxznH1fj59jbOWY38u,"Sudan Archives, also known as Brittney Denise Parks, is a Cincinnati-born, Los Angeles-based violinist and singer-songwriter signed to Stones Throw Records. Her music blends Sudanese folk music and African elements with R&B and experimental electronic, and is largely self-written and produced. She began playing the violin at four years old and released her first album, Athena, in 2019. (Summarized by ChatGPT)"
Sophie Cates,4xjJOu0MWVWuaDVZOy0Dx2,"Sophie Cates, (fka Silver Sphere), is a singer and songwriter from Chicago, currently based in Los Angeles. She describes her music as “pop with unexpected other influences every once and a while”, citing influences including Taylor Swift, The 1975, and Charli XCX.  She signed a joint deal with Little Worry / RCA Records in 2020, but since 2021 has been releasing music independently under her own name."
Helena Deland,0BJeP79i5wKgCqsEEiQ7G0,"Helena Deland writes melodic pop songs with an extraordinary understanding of space and sound. The Montreal songwriter writes music that feels very human: it’s at once evocative yet hazy, self-assured yet fallible. Her lyrics conjure images and feelings that seem to promptly slip out of grasp, as if she’s piecing together fragments of memories to unearth something deeper."
Maddie Zahm,5dtPlx7yKOo7KdZGyrfFIq,"Maddie Zahm competed on Season 16 of American Idol. She taught music lessons to individuals with disabilities and is an ex-worship leader. Her music explores themes of personal growth, religion and LGBTQ+ identity."
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,"Chloe x Halle are sisters who make up an R&B duo, signed to Beyoncé's Parkwood label and Columbia Records. They gained fame through their YouTube covers, catching Parkwood's attention with their rendition of ""Pretty Hurts"" in 2013. Their mixtape The Two of Us was released in 2017, followed by debut album The Kids Are Alright in 2018, which earned them their first two Grammy nominations. Their second album, Ungodly Hour, was released in 2020 and achieved their highest chart position to date. (Summarized by ChatGPT)"
Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,"Waxahatchee is an American indie music project, formed in 2010 by American singer-songwriter Katie Crutchfield. The band is named after Waxahatchee Creek, in Alabama."
Biig Piig,4GoD5FJCgC0lbzde7ly44M,"Biig Piig is the stage name of Irish artist Jessica Smyth, who sings and raps in both English and Spanish. She found her stage name on a pizza menu and is currently based in London. She is part of the UK collective NiNE8. (Summarized by ChatGPT)"
Jessica Pratt,5KTykbPcDB4GYS49jcHbWh,"Jessica Pratt (born 1987) is an American musician and singer-songwriter, based in Los Angeles, California.  She is often associated with the freak folk movement."
BLÜ EYES,2gI1WfmpFmmgSRojy4Jup2,This artist doesn't have a bio yet! Stay tuned...
Freak Slug,5wk7sY8GIg5ihSI09EbWeS,"Freak Slug is a Manchester / London based artist.  You can feel a sense of nostalgia mixed with melancholic memories listening to her music.  Influenced by heavy sounds, the soft melodies of her 90’s shoegaze and the rough side of the 60’s, her lo-fi, bedroom pop sound exists in a time frame of its own."
Delaney Bailey,3Os4q49SgEN0Tv3fxKw3Sp,"Delaney Bailey is an Indiana-based indie artist, best known for her 2022 single ‘j’s lullaby’."
quinnie,4aEuFytRb43SAgjchJDk5e,"Quinnie is a New Jersey based bedroom pop artist who makes “bedroom pop 4 the too sentimental soul”.  Her music often has a dreamy, effortless feel to it. This can be heard through the lyrics and instrumentals, as well as seen through album covers which seem to have a scrap book quality to them."
Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,"Snail Mail is the stage name of Lindsey Jordan, an American singer-songwriter born in 1999 and based in Baltimore, Maryland. She started playing guitar at a young age and was trained classically and in jazz guitar. She released her debut EP, Habit, in 2016 and signed with Matador Records in 2017. In 2018, she released her first full-length album, Lush, and her sophomore album, Valentine, was released in November 2021. Snail Mail includes bassist Alex Bass and drummer Ray Brown. (Summarized by ChatGPT)"
FELIVAND,6QCstr3yhEVSZPQyDvvYjK,"Felicity Vanderveen is a 21-year-old producer, multi-instrumentalist, and singer who creates warm, soulful, and earthy tunes. She creates music as FELIVAND by blending smooth, neo-soul stylings with the organic DIY textures of artists like Still Woozy and The Internet. Her debut EP, In Bloom, garnered praise from numerous publications, and her second EP, Nerve, depicts organic, soul-tinged music in dark shades of pop. (Summarized by ChatGPT)"
Lauren Sanderson,06vRrrjT3DBRkhBlXoBdYj,"Lauren Sanderson is a powerful singer-songwriter from Indiana with a debut album, ""Midwest Kids Can Make It Big."" She has been praised by Zane Lowe’s Beats 1 and has a loyal fan base. With her DIY approach, she has gone from being her own manager to opening for FINNEAS. Her music is inspiring and has been compared to Mac Miller and Lorde. (Summarized by ChatGPT)"
Rosie Carney,3Aut8hgiqZSy2qmJluZMU9,"Rosie Carney is a 21-year old Irish singer and songwriter. Though originally from Hampshire, she currently resides in Downings co Donegal. She was the opening act on Haux’s summer tour in the United States. Her debt album, entitled Bare, will be released on January 25th, 2019, on Akira Records."
