name,id,popularity,image,embded
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,37,https://images.genius.com/922a70bed33cffd486c9cd0fc4e4b376.770x433x1.jpg,https://open.spotify.com/embed/artist/0bsV0sUjnCuCTYOnNHQl3E?utm_source=generator&theme=0
Cassandra Jenkins,1WVGbBnzZ5WLZ2PfesIHik,34,https://images.genius.com/2449d77d3edb416e6959183df80aedd7.1000x1000x1.jpg,https://open.spotify.com/embed/artist/1WVGbBnzZ5WLZ2PfesIHik?utm_source=generator&theme=0
Kate Bollinger,4eArh1v6UwBbKkjdgHCned,56,https://images.genius.com/8fc81e67658539c2fca4a1be47d88f71.338x338x1.png,https://open.spotify.com/embed/artist/4eArh1v6UwBbKkjdgHCned?utm_source=generator&theme=0
Alex Lahey,5kdYrM3h2sB1Eid5tDf6Hk,42,https://images.genius.com/067746a7e4548e9ec8398a14fd02a9fe.400x400x1.png,https://open.spotify.com/embed/artist/5kdYrM3h2sB1Eid5tDf6Hk?utm_source=generator&theme=0
Black Belt Eagle Scout,1CUUXdvZE6UzwQyBUm5YVD,38,https://images.genius.com/27e4c9231ab19036e1e3cc7f1a3082cc.556x556x1.jpg,https://open.spotify.com/embed/artist/1CUUXdvZE6UzwQyBUm5YVD?utm_source=generator&theme=0
Sody,01y8iBZYk8aeNfPsuTVrAt,57,https://images.genius.com/8916b697c9f5100fb51a3754990dd60e.400x400x1.jpg,https://open.spotify.com/embed/artist/01y8iBZYk8aeNfPsuTVrAt?utm_source=generator&theme=0
Hazel English,1nEGjL7aMVdNQzsfQPKdGr,49,https://images.genius.com/83c805ec71a93fd61283b61822365835.460x460x1.jpg,https://open.spotify.com/embed/artist/1nEGjL7aMVdNQzsfQPKdGr?utm_source=generator&theme=0
beabadoobee,35l9BRT7MXmM8bv2WDQiyB,78,https://images.genius.com/8d735c26481a71a65cb3605ee693a081.640x640x1.jpg,https://open.spotify.com/embed/artist/35l9BRT7MXmM8bv2WDQiyB?utm_source=generator&theme=0
Alice Phoebe Lou,03uMw43UVu9MsQCcHVSGjX,59,https://images.genius.com/7b7f698704fcdc6fa6e054829e4bb0fb.720x720x1.png,https://open.spotify.com/embed/artist/03uMw43UVu9MsQCcHVSGjX?utm_source=generator&theme=0
Indigo De Souza,3ir2pF2mkiEWqyPenKTh5e,56,https://images.genius.com/d07215467e2960065f991336b41b0390.433x433x1.jpg,https://open.spotify.com/embed/artist/3ir2pF2mkiEWqyPenKTh5e?utm_source=generator&theme=0
Ada Lea,3sE8O47mEFWR6pL0rwnAHy,32,https://images.genius.com/d05968946cebb3abd538ce1476bb49df.1000x1000x1.jpg,https://open.spotify.com/embed/artist/3sE8O47mEFWR6pL0rwnAHy?utm_source=generator&theme=0
Kississippi,6t0a2t1BXxTQvAkxReClPm,42,https://images.genius.com/da7cfbc07c84f5632e48c05711a92b90.800x800x1.jpg,https://open.spotify.com/embed/artist/6t0a2t1BXxTQvAkxReClPm?utm_source=generator&theme=0
MUNA,6xdRb2GypJ7DqnWAI2mHGn,61,https://images.genius.com/a06ba9e225d27ee6ce3e781d07739363.1000x1000x1.jpg,https://open.spotify.com/embed/artist/6xdRb2GypJ7DqnWAI2mHGn?utm_source=generator&theme=0
Esmé Patterson,1PoFNQQDFXvOYm6Dx8coAa,32,https://images.genius.com/c9922a07a6a042901b112e7668b8ba7a.1000x1000x1.jpg,https://open.spotify.com/embed/artist/1PoFNQQDFXvOYm6Dx8coAa?utm_source=generator&theme=0
P.S. Eliot,5OPhZptrztOU4W75eMEPiX,24,https://images.genius.com/ea7aab6427b492a152965152e5c0d3bb.470x470x1.jpg,https://open.spotify.com/embed/artist/5OPhZptrztOU4W75eMEPiX?utm_source=generator&theme=0
Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn,68,https://images.genius.com/fe0db32cbea85386a10c890c470b8f76.694x694x1.png,https://open.spotify.com/embed/artist/2hUYKu1x0UZQXvzCmggvSn?utm_source=generator&theme=0
