artist_name,artist_id,track_number,track_name,track_id,track_embed
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,1,Sea Calls Me Home,2vUMdAub2h5j5zuSppYQyT,https://open.spotify.com/embed/track/2vUMdAub2h5j5zuSppYQyT?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,2,Feel You,6JGZmmiaL64s1AmhEOVvCr,https://open.spotify.com/embed/track/6JGZmmiaL64s1AmhEOVvCr?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,3,Silhouette,4riNlzZh1Xd4xqbIWy7zfM,https://open.spotify.com/embed/track/4riNlzZh1Xd4xqbIWy7zfM?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,4,Everytime Boots,4qzU0YbbJRcgnVIV9LpmJ6,https://open.spotify.com/embed/track/4qzU0YbbJRcgnVIV9LpmJ6?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,5,So Humble the Afternoon,1dl1I6nRr3lFuFxP7gHtcx,https://open.spotify.com/embed/track/1dl1I6nRr3lFuFxP7gHtcx?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,6,Gold Dust Woman,3bdVI2epokfLQp3L6N4svB,https://open.spotify.com/embed/track/3bdVI2epokfLQp3L6N4svB?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,7,This Is a True Heart,3SZFmoWHkZeWAc5kXHGZYm,https://open.spotify.com/embed/track/3SZFmoWHkZeWAc5kXHGZYm?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,8,Strange Town - Julia Holter Edit,2bKdcXm8NZ0yavonGR86Vf,https://open.spotify.com/embed/track/2bKdcXm8NZ0yavonGR86Vf?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,9,These Creatures,7vD0ggohf5hwfBdbpp1f7W,https://open.spotify.com/embed/track/7vD0ggohf5hwfBdbpp1f7W?utm_source=generator&theme=0
Julia Holter,0bsV0sUjnCuCTYOnNHQl3E,10,Lucette Stranded on the Island,2226IKgSbnGNwkRGxXsbp0,https://open.spotify.com/embed/track/2226IKgSbnGNwkRGxXsbp0?utm_source=generator&theme=0
Cassandra Jenkins,1WVGbBnzZ5WLZ2PfesIHik,1,Michelangelo,7M5ASYUkhK0iac9WiKyPA3,https://open.spotify.com/embed/track/7M5ASYUkhK0iac9WiKyPA3?utm_source=generator&theme=0
Cassandra Jenkins,1WVGbBnzZ5WLZ2PfesIHik,2,Hard Drive,3ArnNhm8z0ScjDKfGHSBRk,https://open.spotify.com/embed/track/3ArnNhm8z0ScjDKfGHSBRk?utm_source=generator&theme=0
