track_id,track_title,artist_name,artist_id,track_popularity,track_explicit,spotify_url,preview_url,duration_ms,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4Q3GSw3CR92lKtPFmKQl90,worm food,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,51,False,https://open.spotify.com/track/4Q3GSw3CR92lKtPFmKQl90,https://p.scdn.co/mp3-preview/cc26ba8bbabd1f18a88141c40b663ccf2d773c50?cid=5bae1e05720d486a8bef2310f63cdb05,237706,0.572,0.347,1,0.00164,0.103,-10.6,1,0.0312,137.846,4,0.187
5oKMLlERw63ITQFKaa8V1o,kill u,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,49,False,https://open.spotify.com/track/5oKMLlERw63ITQFKaa8V1o,https://p.scdn.co/mp3-preview/8ec7ccb17c0a10d84ed9d483df180c6cd129faa1?cid=5bae1e05720d486a8bef2310f63cdb05,224586,0.519,0.694,9,0.000244,0.113,-8.934,1,0.0443,146.929,4,0.216
2AQdzXePqssMvFJwzbKwAw,frog,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,47,False,https://open.spotify.com/track/2AQdzXePqssMvFJwzbKwAw,https://p.scdn.co/mp3-preview/f42841d3eb81a5d4e80978e1715458f0b5ed37cf?cid=5bae1e05720d486a8bef2310f63cdb05,206293,0.606,0.473,5,0.000304,0.103,-9.468,1,0.0258,152.552,4,0.579
4NlRBHQFKKgTJiDWG02fIV,a kind thing to do (feat. Vic Fuentes),Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,56,True,https://open.spotify.com/track/4NlRBHQFKKgTJiDWG02fIV,https://p.scdn.co/mp3-preview/1e752427cbb8601710d66e3a1fa6db2b45813b3c?cid=5bae1e05720d486a8bef2310f63cdb05,247013,0.547,0.268,4,2.97e-05,0.12,-12.361,1,0.044,120.278,4,0.343
0nldraDxkeNlhAX5sLrK9u,1994,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,50,False,https://open.spotify.com/track/0nldraDxkeNlhAX5sLrK9u,https://p.scdn.co/mp3-preview/5dcdc54b41c6cb0f51810a29de96b7117a1b193a?cid=5bae1e05720d486a8bef2310f63cdb05,203533,0.424,0.654,7,0.00117,0.0952,-8.105,1,0.0344,124.796,4,0.372
7yQKapIDUatR2R6xAgU5FB,better,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,48,False,https://open.spotify.com/track/7yQKapIDUatR2R6xAgU5FB,https://p.scdn.co/mp3-preview/db75093e277111671f1e940fce4d365998fbb3b5?cid=5bae1e05720d486a8bef2310f63cdb05,180626,0.613,0.32,3,0.00613,0.104,-17.279,1,0.0375,155.741,4,0.536
60wA9v9OWr705jZI5dpnxZ,wasabi,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,45,False,https://open.spotify.com/track/60wA9v9OWr705jZI5dpnxZ,https://p.scdn.co/mp3-preview/1857711ee36b765be5ec442579259f33a8a0ed74?cid=5bae1e05720d486a8bef2310f63cdb05,194906,0.416,0.19,1,0.00023,0.118,-16.193,1,0.0335,130.063,4,0.241
1oPd8gfPWu6zeKQX9flbpk,fall in love with a girl (feat. Beabadoobee),Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,53,True,https://open.spotify.com/track/1oPd8gfPWu6zeKQX9flbpk,https://p.scdn.co/mp3-preview/715b6e267aa0d3ae8f893c4b7223c1fda1864bdc?cid=5bae1e05720d486a8bef2310f63cdb05,190853,0.684,0.506,10,3.61e-05,0.0969,-8.23,1,0.0292,107.056,4,0.398
1oPd8gfPWu6zeKQX9flbpk,fall in love with a girl (feat. Beabadoobee),beabadoobee,35l9BRT7MXmM8bv2WDQiyB,53,True,https://open.spotify.com/track/1oPd8gfPWu6zeKQX9flbpk,https://p.scdn.co/mp3-preview/715b6e267aa0d3ae8f893c4b7223c1fda1864bdc?cid=5bae1e05720d486a8bef2310f63cdb05,190853,0.684,0.506,10,3.61e-05,0.0969,-8.23,1,0.0292,107.056,4,0.398
6Eig5FJdHkF3Hn9RFkKfCZ,grey space (feat. Chloe Moriondo),Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,47,False,https://open.spotify.com/track/6Eig5FJdHkF3Hn9RFkKfCZ,https://p.scdn.co/mp3-preview/e1e29c2b6174d2f5c58c153b5d75b66786c2cc9b?cid=5bae1e05720d486a8bef2310f63cdb05,176746,0.576,0.606,9,0.311,0.0893,-10.787,1,0.037,148.051,3,0.565
6Eig5FJdHkF3Hn9RFkKfCZ,grey space (feat. Chloe Moriondo),chloe moriondo,3P4vW5tzQvmuoNaFQqzy9q,47,False,https://open.spotify.com/track/6Eig5FJdHkF3Hn9RFkKfCZ,https://p.scdn.co/mp3-preview/e1e29c2b6174d2f5c58c153b5d75b66786c2cc9b?cid=5bae1e05720d486a8bef2310f63cdb05,176746,0.576,0.606,9,0.311,0.0893,-10.787,1,0.037,148.051,3,0.565
08noUkx67pSwQuHnFhIcsF,heart attack,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,49,True,https://open.spotify.com/track/08noUkx67pSwQuHnFhIcsF,https://p.scdn.co/mp3-preview/ad8605b0a6531ff6ed40b77c8d35473fccd4b517?cid=5bae1e05720d486a8bef2310f63cdb05,206280,0.703,0.7,0,0.051,0.117,-7.741,1,0.0307,132.997,4,0.528
68AdWVM9g4FrUiDAK3gCUj,i swear to god,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,44,True,https://open.spotify.com/track/68AdWVM9g4FrUiDAK3gCUj,https://p.scdn.co/mp3-preview/8d4ec744fb8d479b0230e474daeeb5d8028953ba?cid=5bae1e05720d486a8bef2310f63cdb05,168813,0.606,0.245,11,9.86e-05,0.11,-12.436,1,0.026,83.029,4,0.205
6b1vPZ7Rq6Ojar4PvSVGhZ,juno,Cavetown,2hR4h1Cao2ueuI7Cx9c7V8,45,False,https://open.spotify.com/track/6b1vPZ7Rq6Ojar4PvSVGhZ,https://p.scdn.co/mp3-preview/26f5ae744beefaeb4e95026adbda1e2335236c88?cid=5bae1e05720d486a8bef2310f63cdb05,192826,0.575,0.236,2,0.0297,0.182,-18.409,1,0.0336,125.161,4,0.225
